Date;Country;City;Specie;count;min (ug/m3);max (ug/m3);median (ug/m3)
09-02-2017;US;Jacksonville;pm25;102;1.2;16.3;5.0
09-02-2017;US;Manhattan;pm25;88;0.2;19.2;5.7
09-02-2017;US;Los Angeles;pm25;50;0.7;28.2;10.0
09-02-2017;CN;Beijing;pm25;336;3.1;17.8;7.2
09-02-2017;IN;New Delhi;pm25;21;57.4;213.0;105.8
09-02-2017;CN;Shanghai;pm25;216;23.9;115.5;67.1
10-02-2017;CN;Wuhan;pm25;398;29.2;136.8;69.0
10-02-2017;US;Jacksonville;pm25;93;0.2;25.4;4.3
10-02-2017;CN;Beijing;pm25;445;3.1;31.1;7.2
10-02-2017;CN;Shanghai;pm25;216;21.1;88.4;35.9
10-02-2017;US;Los Angeles;pm25;71;3.6;32.0;10.0
10-02-2017;IN;New Delhi;pm25;24;21.1;227.1;127.1
10-02-2017;US;Manhattan;pm25;89;0.9;16.3;6.2
10-02-2017;US;Houston;pm25;96;5.7;22.5;9.6
11-02-2017;US;Houston;pm25;96;7.2;13.5;9.6
11-02-2017;US;Manhattan;pm25;96;5.5;29.2;14.4
11-02-2017;US;Los Angeles;pm25;70;1.2;34.9;7.2
11-02-2017;CN;Beijing;pm25;452;3.1;8.244.000.723.981.900;21.1
11-02-2017;IN;New Delhi;pm25;23;32.0;200.9;115.5
11-02-2017;CN;Shanghai;pm25;215;17.8;74.8;42.8
11-02-2017;US;Jacksonville;pm25;94;0.4;22.5;8.3
11-02-2017;CN;Wuhan;pm25;374;14.0;179.7;46.8
12-02-2017;US;Los Angeles;pm25;70;2.1;57.4;10.5
12-02-2017;US;Houston;pm25;96;5.5;21.6;11.5
12-02-2017;US;Manhattan;pm25;96;0.2;32.0;9.3
12-02-2017;IN;New Delhi;pm25;24;80.6;181.7;123.2
12-02-2017;CN;Beijing;pm25;456;29.2;421.6;121.3
12-02-2017;US;Jacksonville;pm25;94;2.4;29.2;6.7
12-02-2017;CN;Wuhan;pm25;398;26.8;461.0;70.9
12-02-2017;CN;Shanghai;pm25;214;44.0;82.6;63.2
13-02-2017;US;Jacksonville;pm25;92;0.2;13.5;4.5
13-02-2017;CN;Beijing;pm25;452;5.0;285.8;90.3
13-02-2017;CN;Shanghai;pm25;215;37.9;82.6;59.3
13-02-2017;IN;New Delhi;pm25;23;40.7;176.7;129.0
13-02-2017;US;Los Angeles;pm25;69;1.4;32.5;12.0
13-02-2017;US;Manhattan;pm25;96;1.2;35.5;7.2
13-02-2017;US;Houston;pm25;96;6.7;23.5;11.5
13-02-2017;CN;Wuhan;pm25;406;29.2;146.5;70.9
14-02-2017;US;Manhattan;pm25;96;1.2;36.7;10.0
14-02-2017;US;Los Angeles;pm25;71;0.7;24.9;11.0
